DriverNumber,BroadcastName,Abbreviation,TeamName,Position,GridPosition,Points,Status,Year,RoundNumber,EventName,QualifyingPosition,QDelta
22,Y TSUNODA,TSU,AlphaTauri,17.0,12.0,0.0,+1 Lap,2021,15,Russian Grand Prix,13.0,0.0466502603119822
9,N MAZEPIN,MAZ,Haas F1 Team,18.0,15.0,0.0,+2 Laps,2021,15,Russian Grand Prix,19.0,0.1154098810702695
6,N LATIFI,LAT,Williams,19.0,18.0,0.0,Accident,2021,15,Russian Grand Prix,14.0,0.061366956555842
47,M SCHUMACHER,MSC,Haas F1 Team,20.0,14.0,0.0,Oil leak,2021,15,Russian Grand Prix,17.0,0.0768386065710392
77,V BOTTAS,BOT,Mercedes,1.0,1.0,26.0,Finished,2021,16,Turkish Grand Prix,2.0,0.0015687599555921
33,M VERSTAPPEN,VER,Red Bull Racing,2.0,2.0,18.0,Finished,2021,16,Turkish Grand Prix,3.0,0.0039581020418014
11,S PEREZ,PER,Red Bull Racing,3.0,6.0,15.0,Finished,2021,16,Turkish Grand Prix,7.0,0.0101124680214317
16,C LECLERC,LEC,Ferrari,4.0,3.0,12.0,Finished,2021,16,Turkish Grand Prix,4.0,0.0047907515566926
44,L HAMILTON,HAM,Mercedes,5.0,11.0,10.0,Finished,2021,16,Turkish Grand Prix,1.0,0.0
10,P GASLY,GAS,AlphaTauri,6.0,4.0,8.0,Finished,2021,16,Turkish Grand Prix,5.0,0.0055268619973934
4,L NORRIS,NOR,McLaren,7.0,7.0,6.0,Finished,2021,16,Turkish Grand Prix,8.0,0.0131051793213302
55,C SAINZ,SAI,Ferrari,8.0,19.0,4.0,Finished,2021,16,Turkish Grand Prix,15.0,0.0278635902881692
18,L STROLL,STR,Aston Martin,9.0,8.0,2.0,Finished,2021,16,Turkish Grand Prix,9.0,0.0173408312014289
31,E OCON,OCO,Alpine,10.0,12.0,1.0,+1 Lap,2021,16,Turkish Grand Prix,12.0,0.0238210165564512
99,A GIOVINAZZI,GIO,Alfa Romeo Racing,11.0,16.0,0.0,+1 Lap,2021,16,Turkish Grand Prix,18.0,0.0429840227832216
7,K RAIKKONEN,RAI,Alfa Romeo Racing,12.0,17.0,0.0,+1 Lap,2021,16,Turkish Grand Prix,19.0,0.056197808563016
3,D RICCIARDO,RIC,McLaren,13.0,20.0,0.0,+1 Lap,2021,16,Turkish Grand Prix,16.0,0.0363590288169137
22,Y TSUNODA,TSU,AlphaTauri,14.0,9.0,0.0,+1 Lap,2021,16,Turkish Grand Prix,10.0,0.0143119177487088
63,G RUSSELL,RUS,Williams,15.0,13.0,0.0,+1 Lap,2021,16,Turkish Grand Prix,13.0,0.0258121349616258
14,F ALONSO,ALO,Alpine,16.0,5.0,0.0,+1 Lap,2021,16,Turkish Grand Prix,6.0,0.007349037022735
6,N LATIFI,LAT,Williams,17.0,15.0,0.0,+1 Lap,2021,16,Turkish Grand Prix,17.0,0.0388328425930395
5,S VETTEL,VET,Aston Martin,18.0,10.0,0.0,+1 Lap,2021,16,Turkish Grand Prix,11.0,0.0232538494955834
47,M SCHUMACHER,MSC,Haas F1 Team,19.0,14.0,0.0,+2 Laps,2021,16,Turkish Grand Prix,14.0,0.0281411401264662
9,N MAZEPIN,MAZ,Haas F1 Team,20.0,18.0,0.0,+2 Laps,2021,16,Turkish Grand Prix,20.0,0.067348071631993
33,M VERSTAPPEN,VER,Red Bull Racing,1.0,1.0,25.0,Finished,2021,17,United States Grand Prix,1.0,0.0
44,L HAMILTON,HAM,Mercedes,2.0,2.0,19.0,Finished,2021,17,United States Grand Prix,2.0,0.0022494887525562
11,S PEREZ,PER,Red Bull Racing,3.0,3.0,15.0,Finished,2021,17,United States Grand Prix,3.0,0.0024109353137445
16,C LECLERC,LEC,Ferrari,4.0,4.0,12.0,Finished,2021,17,United States Grand Prix,5.0,0.0074911204391346
3,D RICCIARDO,RIC,McLaren,5.0,6.0,10.0,Finished,2021,17,United States Grand Prix,7.0,0.0096652674631364
77,V BOTTAS,BOT,Mercedes,6.0,9.0,8.0,Finished,2021,17,United States Grand Prix,4.0,0.0060811538047572
55,C SAINZ,SAI,Ferrari,7.0,5.0,6.0,Finished,2021,17,United States Grand Prix,6.0,0.0094930577978689
4,L NORRIS,NOR,McLaren,8.0,7.0,4.0,Finished,2021,17,United States Grand Prix,8.0,0.0104402109568399
22,Y TSUNODA,TSU,AlphaTauri,9.0,10.0,2.0,+1 Lap,2021,17,United States Grand Prix,10.0,0.0216123129910667
5,S VETTEL,VET,Aston Martin,10.0,18.0,1.0,+1 Lap,2021,17,United States Grand Prix,12.0,0.0255193197718222
99,A GIOVINAZZI,GIO,Alfa Romeo Racing,11.0,12.0,0.0,+1 Lap,2021,17,United States Grand Prix,13.0,0.0310407921644602
18,L STROLL,STR,Aston Martin,12.0,13.0,0.0,+1 Lap,2021,17,United States Grand Prix,16.0,0.0330750188354322
7,K RAIKKONEN,RAI,Alfa Romeo Racing,13.0,15.0,0.0,+1 Lap,2021,17,United States Grand Prix,18.0,0.0366053169734152
63,G RUSSELL,RUS,Williams,14.0,20.0,0.0,+1 Lap,2021,17,United States Grand Prix,15.0,0.0305241631686578
6,N LATIFI,LAT,Williams,15.0,14.0,0.0,+1 Lap,2021,17,United States Grand Prix,17.0,0.0332041760843828
47,M SCHUMACHER,MSC,Haas F1 Team,16.0,16.0,0.0,+2 Laps,2021,17,United States Grand Prix,19.0,0.0386287805403078
9,N MAZEPIN,MAZ,Haas F1 Team,17.0,17.0,0.0,+2 Laps,2021,17,United States Grand Prix,20.0,0.0418254224518352
14,F ALONSO,ALO,Alpine,18.0,19.0,0.0,Rear wing,2021,17,United States Grand Prix,14.0,0.03063179420945
31,E OCON,OCO,Alpine,19.0,11.0,0.0,Mechanical,2021,17,United States Grand Prix,11.0,0.0265525777634269
10,P GASLY,GAS,AlphaTauri,20.0,8.0,0.0,Suspension,2021,17,United States Grand Prix,9.0,0.0130018297276934
33,M VERSTAPPEN,VER,Red Bull Racing,1.0,3.0,25.0,Finished,2021,18,Mexico City Grand Prix,3.0,0.0046128500823722
44,L HAMILTON,HAM,Mercedes,2.0,2.0,18.0,Finished,2021,18,Mexico City Grand Prix,2.0,0.0019110378912684
11,S PEREZ,PER,Red Bull Racing,3.0,4.0,15.0,Finished,2021,18,Mexico City Grand Prix,4.0,0.006154859967051
10,P GASLY,GAS,AlphaTauri,4.0,5.0,12.0,Finished,2021,18,Mexico City Grand Prix,5.0,0.007657331136738
16,C LECLERC,LEC,Ferrari,5.0,8.0,10.0,Finished,2021,18,Mexico City Grand Prix,8.0,0.011505766062603
55,C SAINZ,SAI,Ferrari,6.0,6.0,8.0,+1 Lap,2021,18,Mexico City Grand Prix,6.0,0.0116771004942338
5,S VETTEL,VET,Aston Martin,7.0,9.0,6.0,+1 Lap,2021,18,Mexico City Grand Prix,11.0,0.0214431630971992
7,K RAIKKONEN,RAI,Alfa Romeo Racing,8.0,10.0,4.0,+1 Lap,2021,18,Mexico City Grand Prix,12.0,0.022813838550247
14,F ALONSO,ALO,Alpine,9.0,12.0,2.0,+1 Lap,2021,18,Mexico City Grand Prix,16.0,0.0339637561779241
4,L NORRIS,NOR,McLaren,10.0,18.0,1.0,+1 Lap,2021,18,Mexico City Grand Prix,10.0,0.0210609555189456
99,A GIOVINAZZI,GIO,Alfa Romeo Racing,11.0,11.0,0.0,+1 Lap,2021,18,Mexico City Grand Prix,14.0,0.0266490939044481
3,D RICCIARDO,RIC,McLaren,12.0,7.0,0.0,+1 Lap,2021,18,Mexico City Grand Prix,7.0,0.0117034596375618
31,E OCON,OCO,Alpine,13.0,19.0,0.0,+1 Lap,2021,18,Mexico City Grand Prix,15.0,0.029667215815486
18,L STROLL,STR,Aston Martin,14.0,20.0,0.0,+2 Laps,2021,18,Mexico City Grand Prix,20.0,0.0658714991762768
77,V BOTTAS,BOT,Mercedes,15.0,1.0,0.0,+2 Laps,2021,18,Mexico City Grand Prix,1.0,0.0
63,G RUSSELL,RUS,Williams,16.0,16.0,0.0,+2 Laps,2021,18,Mexico City Grand Prix,13.0,0.0274530477759472
6,N LATIFI,LAT,Williams,17.0,13.0,0.0,+2 Laps,2021,18,Mexico City Grand Prix,17.0,0.0379703459637561
9,N MAZEPIN,MAZ,Haas F1 Team,18.0,15.0,0.0,+3 Laps,2021,18,Mexico City Grand Prix,19.0,0.0451795716639208
47,M SCHUMACHER,MSC,Haas F1 Team,19.0,14.0,0.0,Collision,2021,18,Mexico City Grand Prix,18.0,0.0393146622734761
22,Y TSUNODA,TSU,AlphaTauri,20.0,17.0,0.0,Collision,2021,18,Mexico City Grand Prix,9.0,0.0108863261943985
44,L HAMILTON,HAM,Mercedes,1.0,10.0,25.0,Finished,2021,19,São Paulo Grand Prix,1.0,0.0
33,M VERSTAPPEN,VER,Red Bull Racing,2.0,2.0,18.0,Finished,2021,19,São Paulo Grand Prix,2.0,0.0064474342744428
77,V BOTTAS,BOT,Mercedes,3.0,1.0,15.0,Finished,2021,19,São Paulo Grand Prix,3.0,0.0072423234315659
11,S PEREZ,PER,Red Bull Racing,4.0,4.0,13.0,Finished,2021,19,São Paulo Grand Prix,4.0,0.0080813730974181
16,C LECLERC,LEC,Ferrari,5.0,6.0,10.0,Finished,2021,19,São Paulo Grand Prix,7.0,0.0136161568581269
55,C SAINZ,SAI,Ferrari,6.0,3.0,8.0,Finished,2021,19,São Paulo Grand Prix,6.0,0.0131303912621072
10,P GASLY,GAS,AlphaTauri,7.0,7.0,6.0,+1 Lap,2021,19,São Paulo Grand Prix,5.0,0.012409102952866
31,E OCON,OCO,Alpine,8.0,8.0,4.0,+1 Lap,2021,19,São Paulo Grand Prix,11.0,0.0184738128183236
14,F ALONSO,ALO,Alpine,9.0,12.0,2.0,+1 Lap,2021,19,São Paulo Grand Prix,10.0,0.0173550799305208
4,L NORRIS,NOR,McLaren,10.0,5.0,1.0,+1 Lap,2021,19,São Paulo Grand Prix,8.0,0.0153972973768658
5,S VETTEL,VET,Aston Martin,11.0,9.0,0.0,+1 Lap,2021,19,São Paulo Grand Prix,12.0,0.0215650484293579
7,K RAIKKONEN,RAI,Alfa Romeo Racing,12.0,0.0,0.0,+1 Lap,2021,19,São Paulo Grand Prix,14.0,0.0230959460652987
63,G RUSSELL,RUS,Williams,13.0,17.0,0.0,+1 Lap,2021,19,São Paulo Grand Prix,18.0,0.0297200223746578
99,A GIOVINAZZI,GIO,Alfa Romeo Racing,14.0,13.0,0.0,+1 Lap,2021,19,São Paulo Grand Prix,15.0,0.0207259987635057
22,Y TSUNODA,TSU,AlphaTauri,15.0,15.0,0.0,+1 Lap,2021,19,São Paulo Grand Prix,13.0,0.0208437601201165
6,N LATIFI,LAT,Williams,16.0,16.0,0.0,+1 Lap,2021,19,São Paulo Grand Prix,17.0,0.028895692878382
9,N MAZEPIN,MAZ,Haas F1 Team,17.0,19.0,0.0,+2 Laps,2021,19,São Paulo Grand Prix,20.0,0.0390820502252186
47,M SCHUMACHER,MSC,Haas F1 Team,18.0,18.0,0.0,+2 Laps,2021,19,São Paulo Grand Prix,19.0,0.0352548061353666
3,D RICCIARDO,RIC,McLaren,19.0,11.0,0.0,Power loss,2021,19,São Paulo Grand Prix,9.0,0.0162657873818707
18,L STROLL,STR,Aston Martin,20.0,14.0,0.0,Collision damage,2021,19,São Paulo Grand Prix,16.0,0.0254511731975152
44,L HAMILTON,HAM,Mercedes,1.0,1.0,25.0,Finished,2021,20,Qatar Grand Prix,1.0,0.0
33,M VERSTAPPEN,VER,Red Bull Racing,2.0,7.0,19.0,Finished,2021,20,Qatar Grand Prix,2.0,0.0056293070384895
14,F ALONSO,ALO,Alpine,3.0,3.0,15.0,Finished,2021,20,Qatar Grand Prix,5.0,0.0104296831504324
11,S PEREZ,PER,Red Bull Racing,4.0,11.0,12.0,Finished,2021,20,Qatar Grand Prix,11.0,0.0187932250361884
31,E OCON,OCO,Alpine,5.0,9.0,10.0,Finished,2021,20,Qatar Grand Prix,9.0,0.0146609425068356
18,L STROLL,STR,Aston Martin,6.0,12.0,8.0,Finished,2021,20,Qatar Grand Prix,12.0,0.020203644821656
55,C SAINZ,SAI,Ferrari,7.0,5.0,6.0,Finished,2021,20,Qatar Grand Prix,7.0,0.0125329407252527
16,C LECLERC,LEC,Ferrari,8.0,13.0,4.0,Finished,2021,20,Qatar Grand Prix,13.0,0.0202407611317999
4,L NORRIS,NOR,McLaren,9.0,4.0,2.0,+1 Lap,2021,20,Qatar Grand Prix,6.0,0.0111843814566914
5,S VETTEL,VET,Aston Martin,10.0,10.0,1.0,+1 Lap,2021,20,Qatar Grand Prix,10.0,0.0163188043599292
10,P GASLY,GAS,AlphaTauri,11.0,2.0,0.0,+1 Lap,2021,20,Qatar Grand Prix,4.0,0.0100585200489935
3,D RICCIARDO,RIC,McLaren,12.0,14.0,0.0,+1 Lap,2021,20,Qatar Grand Prix,14.0,0.0218986229848936
22,Y TSUNODA,TSU,AlphaTauri,13.0,8.0,0.0,+1 Lap,2021,20,Qatar Grand Prix,8.0,0.0130401969638858
7,K RAIKKONEN,RAI,Alfa Romeo Racing,14.0,16.0,0.0,+1 Lap,2021,20,Qatar Grand Prix,16.0,0.0288146287750381
99,A GIOVINAZZI,GIO,Alfa Romeo Racing,15.0,18.0,0.0,+1 Lap,2021,20,Qatar Grand Prix,18.0,0.0301260717334554
47,M SCHUMACHER,MSC,Haas F1 Team,16.0,19.0,0.0,+1 Lap,2021,20,Qatar Grand Prix,19.0,0.0319200267237432
63,G RUSSELL,RUS,Williams,17.0,15.0,0.0,+2 Laps,2021,20,Qatar Grand Prix,15.0,0.0238657874225197
9,N MAZEPIN,MAZ,Haas F1 Team,18.0,20.0,0.0,+2 Laps,2021,20,Qatar Grand Prix,20.0,0.0622564242146806
6,N LATIFI,LAT,Williams,19.0,17.0,0.0,Puncture,2021,20,Qatar Grand Prix,17.0,0.0295198386677718
77,V BOTTAS,BOT,Mercedes,20.0,6.0,0.0,Damage,2021,20,Qatar Grand Prix,3.0,0.0080542393012235
44,L HAMILTON,HAM,Mercedes,1.0,1.0,26.0,Finished,2021,21,Saudi Arabian Grand Prix,1.0,0.0
33,M VERSTAPPEN,VER,Red Bull Racing,2.0,3.0,18.0,Finished,2021,21,Saudi Arabian Grand Prix,3.0,0.0016226531521752
77,V BOTTAS,BOT,Mercedes,3.0,2.0,15.0,Finished,2021,21,Saudi Arabian Grand Prix,2.0,0.0012684119710665
31,E OCON,OCO,Alpine,4.0,9.0,12.0,Finished,2021,21,Saudi Arabian Grand Prix,9.0,0.0121470443715647
3,D RICCIARDO,RIC,McLaren,5.0,11.0,10.0,Finished,2021,21,Saudi Arabian Grand Prix,11.0,0.0080561300865033
10,P GASLY,GAS,AlphaTauri,6.0,6.0,8.0,Finished,2021,21,Saudi Arabian Grand Prix,6.0,0.0070162608129264
16,C LECLERC,LEC,Ferrari,7.0,4.0,6.0,Finished,2021,21,Saudi Arabian Grand Prix,4.0,0.0062049342368388
55,C SAINZ,SAI,Ferrari,8.0,15.0,4.0,Finished,2021,21,Saudi Arabian Grand Prix,15.0,0.0082960999188673
99,A GIOVINAZZI,GIO,Alfa Romeo Racing,9.0,10.0,2.0,Finished,2021,21,Saudi Arabian Grand Prix,10.0,0.0126269840362926
4,L NORRIS,NOR,McLaren,10.0,7.0,1.0,Finished,2021,21,Saudi Arabian Grand Prix,7.0,0.0076447532310225
18,L STROLL,STR,Aston Martin,11.0,18.0,0.0,Finished,2021,21,Saudi Arabian Grand Prix,18.0,0.0212201894618962
6,N LATIFI,LAT,Williams,12.0,16.0,0.0,Finished,2021,21,Saudi Arabian Grand Prix,16.0,0.019037606700872
14,F ALONSO,ALO,Alpine,13.0,13.0,0.0,+1 Lap,2021,21,Saudi Arabian Grand Prix,13.0,0.0161008330381324
22,Y TSUNODA,TSU,AlphaTauri,14.0,8.0,0.0,+1 Lap,2021,21,Saudi Arabian Grand Prix,8.0,0.0081246928957502
7,K RAIKKONEN,RAI,Alfa Romeo Racing,15.0,12.0,0.0,+1 Lap,2021,21,Saudi Arabian Grand Prix,12.0,0.015369496406166
5,S VETTEL,VET,Aston Martin,16.0,17.0,0.0,Collision damage,2021,21,Saudi Arabian Grand Prix,17.0,0.0192775765332357
11,S PEREZ,PER,Red Bull Racing,17.0,5.0,0.0,Collision,2021,21,Saudi Arabian Grand Prix,5.0,0.0049708036703957
9,N MAZEPIN,MAZ,Haas F1 Team,18.0,20.0,0.0,Collision,2021,21,Saudi Arabian Grand Prix,20.0,0.0338471734981888
63,G RUSSELL,RUS,Williams,19.0,14.0,0.0,Collision,2021,21,Saudi Arabian Grand Prix,14.0,0.0161693958473792
47,M SCHUMACHER,MSC,Haas F1 Team,20.0,19.0,0.0,Accident,2021,21,Saudi Arabian Grand Prix,19.0,0.0223171944098456
33,M VERSTAPPEN,VER,Red Bull Racing,1.0,1.0,26.0,Finished,2021,22,Abu Dhabi Grand Prix,1.0,0.0
44,L HAMILTON,HAM,Mercedes,2.0,2.0,18.0,Finished,2021,22,Abu Dhabi Grand Prix,2.0,0.0045183840991853
55,C SAINZ,SAI,Ferrari,3.0,5.0,15.0,Finished,2021,22,Abu Dhabi Grand Prix,5.0,0.0107539977347186
22,Y TSUNODA,TSU,AlphaTauri,4.0,8.0,12.0,Finished,2021,22,Abu Dhabi Grand Prix,8.0,0.0135307944317919
10,P GASLY,GAS,AlphaTauri,5.0,12.0,10.0,Finished,2021,22,Abu Dhabi Grand Prix,12.0,0.0168069273770233
77,V BOTTAS,BOT,Mercedes,6.0,6.0,8.0,Finished,2021,22,Abu Dhabi Grand Prix,6.0,0.0112898707815222
4,L NORRIS,NOR,McLaren,7.0,3.0,6.0,Finished,2021,22,Abu Dhabi Grand Prix,3.0,0.0100110828289225
14,F ALONSO,ALO,Alpine,8.0,11.0,4.0,Finished,2021,22,Abu Dhabi Grand Prix,11.0,0.016453738323448
31,E OCON,OCO,Alpine,9.0,9.0,2.0,Finished,2021,22,Abu Dhabi Grand Prix,9.0,0.0155890340888331
16,C LECLERC,LEC,Ferrari,10.0,7.0,1.0,Finished,2021,22,Abu Dhabi Grand Prix,7.0,0.0123372590093656
5,S VETTEL,VET,Aston Martin,11.0,15.0,0.0,Finished,2021,22,Abu Dhabi Grand Prix,15.0,0.0257706219781022
3,D RICCIARDO,RIC,McLaren,12.0,10.0,0.0,+1 Lap,2021,22,Abu Dhabi Grand Prix,10.0,0.0158326127464712
18,L STROLL,STR,Aston Martin,13.0,13.0,0.0,+1 Lap,2021,22,Abu Dhabi Grand Prix,13.0,0.0237732769854706
47,M SCHUMACHER,MSC,Haas F1 Team,14.0,19.0,0.0,+1 Lap,2021,22,Abu Dhabi Grand Prix,19.0,0.0340644752706769
11,S PEREZ,PER,Red Bull Racing,15.0,4.0,0.0,Engine,2021,22,Abu Dhabi Grand Prix,4.0,0.010205945755033
6,N LATIFI,LAT,Williams,16.0,16.0,0.0,Accident,2021,22,Abu Dhabi Grand Prix,16.0,0.027146841393757
99,A GIOVINAZZI,GIO,Alfa Romeo Racing,17.0,14.0,0.0,Gearbox,2021,22,Abu Dhabi Grand Prix,14.0,0.0244674761597388
63,G RUSSELL,RUS,Williams,18.0,17.0,0.0,Gearbox,2021,22,Abu Dhabi Grand Prix,17.0,0.0281820506887187
7,K RAIKKONEN,RAI,Alfa Romeo Racing,19.0,18.0,0.0,Brakes,2021,22,Abu Dhabi Grand Prix,18.0,0.0325177507946753
9,,MAZ,Haas F1 Team,,,0.0,Illness,2021,22,Abu Dhabi Grand Prix,20.0,0.0435518639856776
16,C LECLERC,LEC,Ferrari,1.0,1.0,26.0,Finished,2022,1,Bahrain Grand Prix,1.0,0.0
55,C SAINZ,SAI,Ferrari,2.0,3.0,18.0,Finished,2022,1,Bahrain Grand Prix,3.0,0.0014245014245013
44,L HAMILTON,HAM,Mercedes,3.0,5.0,15.0,Finished,2022,1,Bahrain Grand Prix,5.0,0.005410896883765
63,G RUSSELL,RUS,Mercedes,4.0,9.0,12.0,Finished,2022,1,Bahrain Grand Prix,9.0,0.0076635968108835
20,K MAGNUSSEN,MAG,Haas F1 Team,5.0,7.0,10.0,Finished,2022,1,Bahrain Grand Prix,7.0,0.0099715099715098
77,V BOTTAS,BOT,Alfa Romeo,6.0,6.0,8.0,Finished,2022,1,Bahrain Grand Prix,6.0,0.0110647319949645
31,E OCON,OCO,Alpine,7.0,11.0,6.0,Finished,2022,1,Bahrain Grand Prix,11.0,0.013516199562711
22,Y TSUNODA,TSU,AlphaTauri,8.0,16.0,4.0,Finished,2022,1,Bahrain Grand Prix,16.0,0.0242054815698225
14,F ALONSO,ALO,Alpine,9.0,8.0,2.0,Finished,2022,1,Bahrain Grand Prix,8.0,0.0117383334437596
24,G ZHOU,ZHO,Alfa Romeo,10.0,15.0,1.0,Finished,2022,1,Bahrain Grand Prix,15.0,0.0213675213675212
47,M SCHUMACHER,MSC,Haas F1 Team,11.0,12.0,0.0,Finished,2022,1,Bahrain Grand Prix,12.0,0.0159014112502484
18,L STROLL,STR,Aston Martin,12.0,19.0,0.0,Finished,2022,1,Bahrain Grand Prix,19.0,0.0273195079396628
23,A ALBON,ALB,Williams,13.0,14.0,0.0,Finished,2022,1,Bahrain Grand Prix,14.0,0.0232558139534883
3,D RICCIARDO,RIC,McLaren,14.0,18.0,0.0,Finished,2022,1,Bahrain Grand Prix,18.0,0.0263587976766269
4,L NORRIS,NOR,McLaren,15.0,13.0,0.0,Finished,2022,1,Bahrain Grand Prix,13.0,0.0160118377172639
6,N LATIFI,LAT,Williams,16.0,20.0,0.0,Finished,2022,1,Bahrain Grand Prix,20.0,0.0339671812540028
27,N HULKENBERG,HUL,Aston Martin,17.0,17.0,0.0,Finished,2022,1,Bahrain Grand Prix,17.0,0.0245036330307647
11,S PEREZ,PER,Red Bull Racing,18.0,4.0,0.0,Fuel pressure,2022,1,Bahrain Grand Prix,4.0,0.0040084807526667
1,M VERSTAPPEN,VER,Red Bull Racing,19.0,2.0,0.0,Fuel pressure,2022,1,Bahrain Grand Prix,2.0,0.0013582455442919
10,P GASLY,GAS,AlphaTauri,20.0,10.0,0.0,Power Unit,2022,1,Bahrain Grand Prix,10.0,0.0118929304975816
1,M VERSTAPPEN,VER,Red Bull Racing,1.0,4.0,25.0,Finished,2022,2,Saudi Arabian Grand Prix,4.0,0.0029591836734693
16,C LECLERC,LEC,Ferrari,2.0,2.0,19.0,Finished,2022,2,Saudi Arabian Grand Prix,2.0,0.000283446712018
55,C SAINZ,SAI,Ferrari,3.0,3.0,15.0,Finished,2022,2,Saudi Arabian Grand Prix,3.0,0.0022902494331065
11,S PEREZ,PER,Red Bull Racing,4.0,1.0,12.0,Finished,2022,2,Saudi Arabian Grand Prix,1.0,0.0
63,G RUSSELL,RUS,Mercedes,5.0,6.0,10.0,Finished,2022,2,Saudi Arabian Grand Prix,6.0,0.0102494331065759
31,E OCON,OCO,Alpine,6.0,5.0,8.0,Finished,2022,2,Saudi Arabian Grand Prix,5.0,0.0098412698412697
4,L NORRIS,NOR,McLaren,7.0,11.0,6.0,Finished,2022,2,Saudi Arabian Grand Prix,11.0,0.0164512471655328
10,P GASLY,GAS,AlphaTauri,8.0,9.0,4.0,Finished,2022,2,Saudi Arabian Grand Prix,9.0,0.0119501133786848
20,K MAGNUSSEN,MAG,Haas F1 Team,9.0,10.0,2.0,Finished,2022,2,Saudi Arabian Grand Prix,10.0,0.0152607709750567
44,L HAMILTON,HAM,Mercedes,10.0,15.0,1.0,Finished,2022,2,Saudi Arabian Grand Prix,16.0,0.024297052154195
24,G ZHOU,ZHO,Alfa Romeo,11.0,12.0,0.0,Finished,2022,2,Saudi Arabian Grand Prix,13.0,0.0183560090702947
27,N HULKENBERG,HUL,Aston Martin,12.0,17.0,0.0,Finished,2022,2,Saudi Arabian Grand Prix,18.0,0.0265646258503401
18,L STROLL,STR,Aston Martin,13.0,13.0,0.0,+1 Lap,2022,2,Saudi Arabian Grand Prix,15.0,0.0233106575963718
23,A ALBON,ALB,Williams,14.0,16.0,0.0,Collision damage,2022,2,Saudi Arabian Grand Prix,17.0,0.0259863945578231
77,V BOTTAS,BOT,Alfa Romeo,15.0,8.0,0.0,Cooling system,2022,2,Saudi Arabian Grand Prix,8.0,0.0111451247165533
14,F ALONSO,ALO,Alpine,16.0,7.0,0.0,Water pump,2022,2,Saudi Arabian Grand Prix,7.0,0.0107369614512471
3,D RICCIARDO,RIC,McLaren,17.0,14.0,0.0,Gearbox,2022,2,Saudi Arabian Grand Prix,12.0,0.0178344671201813
6,N LATIFI,LAT,Williams,18.0,18.0,0.0,Accident,2022,2,Saudi Arabian Grand Prix,19.0,0.0410090702947844
22,Y TSUNODA,TSU,AlphaTauri,19.0,19.0,0.0,Power Unit,2022,2,Saudi Arabian Grand Prix,20.0,
47,,MSC,Haas F1 Team,,,0.0,Withdrew,2022,2,Saudi Arabian Grand Prix,14.0,0.019501133786848
16,C LECLERC,LEC,Ferrari,1.0,1.0,26.0,Finished,2022,3,Australian Grand Prix,1.0,0.0
11,S PEREZ,PER,Red Bull Racing,2.0,3.0,18.0,Finished,2022,3,Australian Grand Prix,3.0,0.0047773154569271
63,G RUSSELL,RUS,Mercedes,3.0,6.0,15.0,Finished,2022,3,Australian Grand Prix,6.0,0.0136769918323317
44,L HAMILTON,HAM,Mercedes,4.0,5.0,12.0,Finished,2022,3,Australian Grand Prix,5.0,0.0122900292803206
4,L NORRIS,NOR,McLaren,5.0,4.0,10.0,Finished,2022,3,Australian Grand Prix,4.0,0.0107232752863821
3,D RICCIARDO,RIC,McLaren,6.0,7.0,8.0,Finished,2022,3,Australian Grand Prix,7.0,0.0149483741716751
31,E OCON,OCO,Alpine,7.0,8.0,6.0,Finished,2022,3,Australian Grand Prix,8.0,0.0153207993013819
77,V BOTTAS,BOT,Alfa Romeo,8.0,12.0,4.0,Finished,2022,3,Australian Grand Prix,12.0,0.0177608260132533
10,P GASLY,GAS,AlphaTauri,9.0,11.0,2.0,Finished,2022,3,Australian Grand Prix,11.0,0.0174397698669543
23,A ALBON,ALB,Williams,10.0,20.0,1.0,Finished,2022,3,Australian Grand Prix,16.0,0.0291133713463811
24,G ZHOU,ZHO,Alfa Romeo,11.0,14.0,0.0,Finished,2022,3,Australian Grand Prix,14.0,0.0262238660296912
18,L STROLL,STR,Aston Martin,12.0,19.0,0.0,Finished,2022,3,Australian Grand Prix,20.0,
47,M SCHUMACHER,MSC,Haas F1 Team,13.0,15.0,0.0,+1 Lap,2022,3,Australian Grand Prix,15.0,0.0287152617249705
20,K MAGNUSSEN,MAG,Haas F1 Team,14.0,16.0,0.0,+1 Lap,2022,3,Australian Grand Prix,17.0,0.0306415986027637
22,Y TSUNODA,TSU,AlphaTauri,15.0,13.0,0.0,+1 Lap,2022,3,Australian Grand Prix,13.0,0.0199825345456414
6,N LATIFI,LAT,Williams,16.0,18.0,0.0,+1 Lap,2022,3,Australian Grand Prix,19.0,0.0449992294652489
14,F ALONSO,ALO,Alpine,17.0,10.0,0.0,+1 Lap,2022,3,Australian Grand Prix,10.0,0.012161606821801
1,M VERSTAPPEN,VER,Red Bull Racing,18.0,2.0,0.0,Fuel leak,2022,3,Australian Grand Prix,2.0,0.003672882313659
5,S VETTEL,VET,Aston Martin,19.0,17.0,0.0,Accident,2022,3,Australian Grand Prix,18.0,0.042135408640263
55,C SAINZ,SAI,Ferrari,20.0,9.0,0.0,Spun off,2022,3,Australian Grand Prix,9.0,0.0077181897570246
1,M VERSTAPPEN,VER,Red Bull Racing,1.0,1.0,26.0,Finished,2022,4,Emilia Romagna Grand Prix,1.0,0.0
11,S PEREZ,PER,Red Bull Racing,2.0,3.0,18.0,Finished,2022,4,Emilia Romagna Grand Prix,7.0,0.0063838158212023
