DriverNumber,BroadcastName,Abbreviation,TeamName,Position,GridPosition,Points,Status,Year,RoundNumber,EventName,QualifyingPosition,QDelta
3,D RICCIARDO,RIC,Renault,8.0,11.0,4.0,+1 Lap,2020,3,Hungarian Grand Prix,11.0,0.030144185603224
55,C SAINZ,SAI,McLaren,9.0,9.0,2.0,+1 Lap,2020,3,Hungarian Grand Prix,9.0,0.0215121107737552
20,K MAGNUSSEN,MAG,Haas F1 Team,10.0,0.0,1.0,+1 Lap,2020,3,Hungarian Grand Prix,16.0,0.0368292782550682
16,C LECLERC,LEC,Ferrari,11.0,6.0,0.0,+1 Lap,2020,3,Hungarian Grand Prix,6.0,0.0186529061772433
26,D KVYAT,KVY,AlphaTauri,12.0,17.0,0.0,+1 Lap,2020,3,Hungarian Grand Prix,17.0,0.0375372717742044
4,L NORRIS,NOR,McLaren,13.0,8.0,0.0,+1 Lap,2020,3,Hungarian Grand Prix,8.0,0.0206815799147683
31,E OCON,OCO,Renault,14.0,14.0,0.0,+1 Lap,2020,3,Hungarian Grand Prix,14.0,0.0309338706822605
7,K RAIKKONEN,RAI,Alfa Romeo Racing,15.0,20.0,0.0,+1 Lap,2020,3,Hungarian Grand Prix,20.0,0.0431195283673941
8,R GROSJEAN,GRO,Haas F1 Team,16.0,0.0,0.0,+1 Lap,2020,3,Hungarian Grand Prix,18.0,0.0403011695508324
99,A GIOVINAZZI,GIO,Alfa Romeo Racing,17.0,19.0,0.0,+1 Lap,2020,3,Hungarian Grand Prix,19.0,0.041649080289188
63,G RUSSELL,RUS,Williams,18.0,12.0,0.0,+1 Lap,2020,3,Hungarian Grand Prix,12.0,0.0291094258444863
6,N LATIFI,LAT,Williams,19.0,15.0,0.0,+5 Laps,2020,3,Hungarian Grand Prix,15.0,0.0361893610358489
10,P GASLY,GAS,AlphaTauri,20.0,10.0,0.0,Engine,2020,3,Hungarian Grand Prix,10.0,0.0280610508257654
44,L HAMILTON,HAM,Mercedes,1.0,1.0,25.0,Finished,2020,4,British Grand Prix,1.0,0.0
33,M VERSTAPPEN,VER,Red Bull Racing,2.0,3.0,19.0,Finished,2020,4,British Grand Prix,3.0,0.0121229374992586
16,C LECLERC,LEC,Ferrari,3.0,4.0,15.0,Finished,2020,4,British Grand Prix,4.0,0.0133328588543706
3,D RICCIARDO,RIC,Renault,4.0,8.0,12.0,Finished,2020,4,British Grand Prix,8.0,0.0202365277629503
4,L NORRIS,NOR,McLaren,5.0,5.0,10.0,Finished,2020,4,British Grand Prix,5.0,0.0175438596491228
31,E OCON,OCO,Renault,6.0,9.0,8.0,Finished,2020,4,British Grand Prix,9.0,0.0226089225768953
10,P GASLY,GAS,AlphaTauri,7.0,11.0,6.0,Finished,2020,4,British Grand Prix,11.0,0.0241984271022384
23,A ALBON,ALB,Red Bull Racing,8.0,12.0,4.0,Finished,2020,4,British Grand Prix,12.0,0.0265945458643227
18,L STROLL,STR,Racing Point,9.0,6.0,2.0,Finished,2020,4,British Grand Prix,6.0,0.0182199921710971
5,S VETTEL,VET,Ferrari,10.0,10.0,1.0,Finished,2020,4,British Grand Prix,10.0,0.0241509792059594
77,V BOTTAS,BOT,Mercedes,11.0,2.0,0.0,Finished,2020,4,British Grand Prix,2.0,0.0037127978838238
63,G RUSSELL,RUS,Williams,12.0,20.0,0.0,Finished,2020,4,British Grand Prix,15.0,0.0288127350153612
55,C SAINZ,SAI,McLaren,13.0,7.0,0.0,Finished,2020,4,British Grand Prix,7.0,0.0197146009038825
99,A GIOVINAZZI,GIO,Alfa Romeo Racing,14.0,15.0,0.0,Finished,2020,4,British Grand Prix,17.0,0.0339371078134823
6,N LATIFI,LAT,Williams,15.0,18.0,0.0,Finished,2020,4,British Grand Prix,20.0,0.0403544357852033
8,R GROSJEAN,GRO,Haas F1 Team,16.0,17.0,0.0,Finished,2020,4,British Grand Prix,19.0,0.0396189933928804
7,K RAIKKONEN,RAI,Alfa Romeo Racing,17.0,16.0,0.0,+1 Lap,2020,4,British Grand Prix,18.0,0.0363332265755667
26,D KVYAT,KVY,AlphaTauri,18.0,19.0,0.0,Accident,2020,4,British Grand Prix,14.0,0.0289550787041979
20,K MAGNUSSEN,MAG,Haas F1 Team,19.0,14.0,0.0,Collision,2020,4,British Grand Prix,16.0,0.033865935969064
27,N HULKENBERG,HUL,Racing Point,20.0,13.0,0.0,Power Unit,2020,4,British Grand Prix,13.0,0.0240086355171227
33,M VERSTAPPEN,VER,Red Bull Racing,1.0,4.0,25.0,Finished,2020,5,70th Anniversary Grand Prix,4.0,0.0120017850012918
44,L HAMILTON,HAM,Mercedes,2.0,2.0,19.0,Finished,2020,5,70th Anniversary Grand Prix,2.0,0.0007398360617234
77,V BOTTAS,BOT,Mercedes,3.0,1.0,15.0,Finished,2020,5,70th Anniversary Grand Prix,1.0,0.0
16,C LECLERC,LEC,Ferrari,4.0,8.0,12.0,Finished,2020,5,70th Anniversary Grand Prix,8.0,0.0171454071447026
23,A ALBON,ALB,Red Bull Racing,5.0,9.0,10.0,Finished,2020,5,70th Anniversary Grand Prix,9.0,0.0174742231721351
18,L STROLL,STR,Racing Point,6.0,6.0,8.0,Finished,2020,5,70th Anniversary Grand Prix,6.0,0.0149611292481856
27,N HULKENBERG,HUL,Racing Point,7.0,3.0,6.0,Finished,2020,5,70th Anniversary Grand Prix,3.0,0.0108979026234821
31,E OCON,OCO,Renault,8.0,14.0,4.0,Finished,2020,5,70th Anniversary Grand Prix,11.0,0.0218075486765154
4,L NORRIS,NOR,McLaren,9.0,10.0,2.0,Finished,2020,5,70th Anniversary Grand Prix,10.0,0.0190713295910938
26,D KVYAT,KVY,AlphaTauri,10.0,16.0,1.0,Finished,2020,5,70th Anniversary Grand Prix,16.0,0.0320360758155812
10,P GASLY,GAS,AlphaTauri,11.0,7.0,0.0,Finished,2020,5,70th Anniversary Grand Prix,7.0,0.0160767550555464
5,S VETTEL,VET,Ferrari,12.0,11.0,0.0,Finished,2020,5,70th Anniversary Grand Prix,12.0,0.0225943584564436
55,C SAINZ,SAI,McLaren,13.0,12.0,0.0,Finished,2020,5,70th Anniversary Grand Prix,13.0,0.0226530756041994
3,D RICCIARDO,RIC,Renault,14.0,5.0,0.0,+1 Lap,2020,5,70th Anniversary Grand Prix,5.0,0.0134227399769828
7,K RAIKKONEN,RAI,Alfa Romeo Racing,15.0,20.0,0.0,+1 Lap,2020,5,70th Anniversary Grand Prix,20.0,0.0392113112713436
8,R GROSJEAN,GRO,Haas F1 Team,16.0,13.0,0.0,+1 Lap,2020,5,70th Anniversary Grand Prix,14.0,0.0246612020574489
99,A GIOVINAZZI,GIO,Alfa Romeo Racing,17.0,19.0,0.0,+1 Lap,2020,5,70th Anniversary Grand Prix,19.0,0.0385067054982738
63,G RUSSELL,RUS,Williams,18.0,15.0,0.0,+1 Lap,2020,5,70th Anniversary Grand Prix,15.0,0.0270216313972332
6,N LATIFI,LAT,Williams,19.0,18.0,0.0,+1 Lap,2020,5,70th Anniversary Grand Prix,18.0,0.0384714752096203
20,K MAGNUSSEN,MAG,Haas F1 Team,20.0,17.0,0.0,Retired,2020,5,70th Anniversary Grand Prix,17.0,0.036193249876694
44,L HAMILTON,HAM,Mercedes,1.0,1.0,25.0,Finished,2020,6,Spanish Grand Prix,1.0,0.0
33,M VERSTAPPEN,VER,Red Bull Racing,2.0,3.0,18.0,Finished,2020,6,Spanish Grand Prix,3.0,0.0093670618120236
77,V BOTTAS,BOT,Mercedes,3.0,2.0,16.0,Finished,2020,6,Spanish Grand Prix,2.0,0.0007805884843352
18,L STROLL,STR,Racing Point,4.0,5.0,12.0,+1 Lap,2020,6,Spanish Grand Prix,5.0,0.0132964648602878
11,S PEREZ,PER,Racing Point,5.0,4.0,10.0,+1 Lap,2020,6,Spanish Grand Prix,4.0,0.0118808213378492
55,C SAINZ,SAI,McLaren,6.0,7.0,8.0,+1 Lap,2020,6,Spanish Grand Prix,7.0,0.0170935647756139
5,S VETTEL,VET,Ferrari,7.0,11.0,6.0,+1 Lap,2020,6,Spanish Grand Prix,11.0,0.020956816257409
23,A ALBON,ALB,Red Bull Racing,8.0,6.0,4.0,+1 Lap,2020,6,Spanish Grand Prix,6.0,0.019117802709568
10,P GASLY,GAS,AlphaTauri,9.0,10.0,2.0,+1 Lap,2020,6,Spanish Grand Prix,10.0,0.0160880609652835
4,L NORRIS,NOR,McLaren,10.0,8.0,1.0,+1 Lap,2020,6,Spanish Grand Prix,8.0,0.0198454699407281
3,D RICCIARDO,RIC,Renault,11.0,13.0,0.0,+1 Lap,2020,6,Spanish Grand Prix,13.0,0.0213537256562234
26,D KVYAT,KVY,AlphaTauri,12.0,12.0,0.0,+1 Lap,2020,6,Spanish Grand Prix,12.0,0.0212743437764604
31,E OCON,OCO,Renault,13.0,15.0,0.0,+1 Lap,2020,6,Spanish Grand Prix,15.0,0.0262357112616425
7,K RAIKKONEN,RAI,Alfa Romeo Racing,14.0,14.0,0.0,+1 Lap,2020,6,Spanish Grand Prix,14.0,0.0238410245554613
20,K MAGNUSSEN,MAG,Haas F1 Team,15.0,16.0,0.0,+1 Lap,2020,6,Spanish Grand Prix,16.0,0.0307472480948348
99,A GIOVINAZZI,GIO,Alfa Romeo Racing,16.0,20.0,0.0,+1 Lap,2020,6,Spanish Grand Prix,20.0,0.0411859652836579
63,G RUSSELL,RUS,Williams,17.0,18.0,0.0,+1 Lap,2020,6,Spanish Grand Prix,18.0,0.0332742379339542
